企業名,キャッチコピー,ステータス,初年度年収
株式会社フェリシモ | 【東証一部上場企業】独創性のある商品・事業形態をもつ通販企業,【社内SE（インフラエンジニア）】※オンプレからクラウドへ移行 正社員,正社員,360万円～420万円
チエル株式会社 | JASDAQ上場|学校教育市場に特化したICTの専業メーカー|年休123日,【企業向けネットワークソリューション営業】★20～30代活躍中 正社員,正社員,416万円～650万円
株式会社アクロクレイン | 年間休日126日★IT事業を中心に展開するアクログループ会社,【システムエンジニア】★土日祝休み★平均残業月20時間！ 正社員,正社員,420万円
株式会社ネクシモ | 【ITシステムを通じて地域の暮らしを支援】転勤ナシ／残業少なめ,＼WEB面接もOK／情報処理システムの【保守】※年間休日128日 正社員,正社員,322万円～420万円
株式会社ディスコ | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,世界シェアトップクラスの製品あり◆年間休日126日【電気設計】 正社員,正社員,
株式会社アイエンター | 創業から18年、時代の波にのって成長を続けるITベンチャー,大手有名BtoCサービスの【運用保守スタッフ】 正社員,正社員,400万円～800万円
株式会社NTTデータ関西 | 【関西トップクラスのSIer】※年間休日122日 ※残業平均月21.3h,"公共,法人,金融系の【PL/PM】※リモートワーク・フレックス導入 正社員",正社員,400万円～600万円
PwCビジネスアシュアランス合同会社,【テクニカルスペシャリスト】（システム監査） 正社員,正社員,350万円～500万円
ヤフー株式会社 | 日本最大級のユーザー数を誇る「Yahoo! JAPAN」,【サービス開発エンジニア】※eコマース事業など 正社員,正社員,400万円～800万円
株式会社エクストリーム | ゲーム会社などエンターテイメント系企業多数！,ゲーム業界へのキャリアチェンジも可能！【IT系プログラマー】 正社員,正社員,300万円～550万円
株式会社ベイカレント・コンサルティング | 東証一部上場,【ITコンサルタント】※未経験者歓迎！エンジニア出身者活躍中！ 正社員,正社員,500万円～1000万円
EYストラテジー・アンド・コンサルティング株式会社 | 世界150カ国以上で事業を展開するEYグループ,グローバルファームで経験を積む【システム監査】※業種未経験OK 正社員,正社員,500万円～750万円
株式会社日立社会情報サービス | 日立グループSI事業の中核企業・年間休日126日・離職率2％,20～30代活躍中！自社パッケージソフトの【ソリューション営業】 正社員,正社員,400万円～600万円
有限責任監査法人トーマツ,【データ分析コンサルタント】※業界未経験歓迎 正社員,正社員,
株式会社ジェーシービー | 誰もが知る日本発の国際カードブランド,【社内SE】※完全週休2日制（土日祝休）/残業月20～30ｈ 正社員,正社員,500万円～900万円
株式会社日立社会情報サービス | 日立グループSI事業の中核企業・年間休日125日・離職率2％,上流工程から運用保守まで【ITエンジニア（アプリ/インフラ）】 正社員,正社員,400万円～600万円
住友重機械工業株式会社 | ＜東証1部上場＞,【SE】基幹システム／生産管理システムなど 正社員,正社員,450万円～750万円
株式会社京進 | 東証二部上場,【学習塾経営】転職して社員に？いや、次のキャリアは独立だ！ FCオーナー,FCオーナー,
アットホーム株式会社 | ◆創業50年以上の安定企業◆業界のリーディングカンパニー,不動産情報サービス「アットホーム」を運営する【IT系総合職】 正社員,正社員,350万円～600万円
HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,Web広告代理店【ブリッジSE】日本とベトナムの架け橋になる！ 人材バンク登録,人材バンク登録,
